"new Date(2015, 09 - 1, 14)",775
"new Date(2015, 09 - 1, 07)",19123
"new Date(2015, 08 - 1, 31)",16837
"new Date(2015, 08 - 1, 24)",14797
"new Date(2015, 08 - 1, 17)",10479
"new Date(2015, 08 - 1, 10)",4838
"new Date(2015, 08 - 1, 03)",0
"new Date(2015, 07 - 1, 27)",0
"new Date(2015, 07 - 1, 20)",0
"new Date(2015, 07 - 1, 13)",0
"new Date(2015, 07 - 1, 06)",0
"new Date(2015, 06 - 1, 29)",0
"new Date(2015, 06 - 1, 22)",0
"new Date(2015, 06 - 1, 15)",0
"new Date(2015, 06 - 1, 08)",0
"new Date(2015, 06 - 1, 01)",0
"new Date(2015, 05 - 1, 25)",0
"new Date(2015, 05 - 1, 18)",0
"new Date(2015, 05 - 1, 11)",0
"new Date(2015, 05 - 1, 04)",0
"new Date(2015, 04 - 1, 27)",0
"new Date(2015, 04 - 1, 20)",0
"new Date(2015, 04 - 1, 13)",0
"new Date(2015, 04 - 1, 06)",0
"new Date(2015, 03 - 1, 30)",0
"new Date(2015, 03 - 1, 23)",0
"new Date(2015, 03 - 1, 16)",0
